player_unique,composite,player_name,ranking,autodraft,player_modifier,team_modifier,team_name,team_games_played,diff,sn_projected,kenpom_projected,538_projected,points_per_team_game,points,538_32,538_16,538_8,538_4,538_2,538_1,sn_32,sn_16,sn_8,sn_4,sn_2,sn_1,kenpom_32,kenpom_16,kenpom_8,kenpom_4,kenpom_2,kenpom_1,seed,region,overall_seed,wins,losses,games_played,conference_wins,conference_losses
mark-sears-1,#N/A,Mark Sears,21,396.5625,1,#N/A,Alabama,#N/A,#N/A,#N/A,0,0,#N/A,423,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,SOUTH,1,28,5,33,16,2
tyler-kolek-1,#N/A,Tyler Kolek,22,394.625,1,#N/A,Marquette,#N/A,#N/A,#N/A,0,0,#N/A,451,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,EAST,8,28,6,34,17,3
jack-nunge-1,#N/A,Jack Nunge,23,390.8125,1,#N/A,Xavier,#N/A,#N/A,#N/A,0,0,#N/A,481,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,MIDWEST,12,25,9,34,15,5
adam-flagler-1,#N/A,Adam Flagler,24,378.625,1,#N/A,Baylor,#N/A,#N/A,#N/A,0,0,#N/A,466,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,SOUTH,9,22,10,32,11,7
jabari-rice-1,#N/A,Sir'Jabari Rice,25,373.625,1,#N/A,Texas,#N/A,#N/A,#N/A,0,0,#N/A,427,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,MIDWEST,6,26,8,34,12,6
olivier-maxence-prosper-1,#N/A,Olivier-Maxence Prosper,26,370.125,1,#N/A,Marquette,#N/A,#N/A,#N/A,0,0,#N/A,423,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,EAST,8,28,6,34,17,3
kyle-filipowski-1,#N/A,Kyle Filipowski,27,360.25,1,#N/A,Duke,#N/A,#N/A,#N/A,0,0,#N/A,524,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5,EAST,18,26,8,34,14,6
jordan-hawkins-1,#N/A,Jordan Hawkins,28,357,1,#N/A,Connecticut,#N/A,#N/A,#N/A,0,0,#N/A,476,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4,WEST,13,24,8,32,13,7
isaiah-wong-1,#N/A,Isaiah Wong,29,355.4375,1,#N/A,Miami (FL),#N/A,#N/A,#N/A,0,0,#N/A,517,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5,MIDWEST,20,25,7,32,15,5
kendric-davis-1,#N/A,Kendric Davis,30,348.5,1,#N/A,Memphis,#N/A,#N/A,#N/A,0,0,#N/A,697,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8,EAST,29,25,8,33,13,5
fletcher-loyer-1,#N/A,Fletcher Loyer,31,344.0625,1,#N/A,Purdue,#N/A,#N/A,#N/A,0,0,#N/A,367,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,EAST,4,28,5,33,15,5
lj-cryer-1,#N/A,LJ Cryer,32,341.25,1,#N/A,Baylor,#N/A,#N/A,#N/A,0,0,#N/A,420,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,SOUTH,9,22,10,32,11,7
jaylen-clark-1,#N/A,Jaylen Clark,33,340.375,0,#N/A,UCLA,#N/A,#N/A,#N/A,0,0,#N/A,389,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,WEST,5,29,5,34,18,2
oso-ighodaro-1,#N/A,Oso Ighodaro,34,339.5,1,#N/A,Marquette,#N/A,#N/A,#N/A,0,0,#N/A,388,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,EAST,8,28,6,34,17,3
